split,label_id,label_name,cases,case_ratio,slices,pixels,pixel_share_fg
train,1,spleen,198,0.99,4798,22573422,0.07244740072183709
train,2,right kidney,200,1.0,5310,17002272,0.05456728770523452
train,3,left kidney,199,0.995,5425,17596993,0.05647599213669785
train,4,gall bladder,189,0.945,2128,3337777,0.010712299971140008
train,5,esophagus,199,0.995,5646,1758632,0.005644173808749325
train,6,liver,200,1.0,8263,152351977,0.4889601908156906
train,7,stomach,198,0.99,5617,39714480,0.1274601098149578
train,8,aorta,200,1.0,13939,13229591,0.042459201824296265
train,9,postcava,200,1.0,12019,7822086,0.025104292956675857
train,10,pancreas,200,1.0,4303,8254228,0.0264912144718425
train,11,right adrenal gland,199,0.995,1763,388611,0.0012472126220789135
train,12,left adrenal gland,200,1.0,2020,459959,0.0014761977155530724
train,13,duodenum,200,1.0,4971,6557920,0.021047064026967197
train,14,bladder,195,0.975,2523,14473529,0.0464515107776805
train,15,prostate/uterus,192,0.96,2303,6062124,0.019455850630598494
val,1,spleen,100,1.0,3036,15405959,0.08100019321589136
val,2,right kidney,98,0.98,3025,9474661,0.04981509892730926
val,3,left kidney,100,1.0,3271,10177775,0.05351187430187687
val,4,gall bladder,93,0.93,1284,2120755,0.011150332463144143
val,5,esophagus,100,1.0,3457,1224175,0.006436367351754201
val,6,liver,100,1.0,4867,89374776,0.46990739911919865
val,7,stomach,99,0.99,3404,26760156,0.14069736304551989
val,8,aorta,100,1.0,8222,8522207,0.044807364061258494
val,9,postcava,100,1.0,7107,4631453,0.024350875389861786
val,10,pancreas,100,1.0,2509,5146468,0.027058679201950493
val,11,right adrenal gland,100,1.0,1057,234027,0.001230448050506652
val,12,left adrenal gland,100,1.0,1188,266459,0.0014009663717859562
val,13,duodenum,99,0.99,3009,4031811,0.021198126647614484
val,14,bladder,99,0.99,1591,9056744,0.04761780905082669
val,15,prostate/uterus,97,0.97,1385,3769145,0.019817102801501084
overall,1,spleen,298,0.9933333333333333,7834,37979381,0.07568928211854493
overall,2,right kidney,298,0.9933333333333333,8335,26476933,0.05276600088534387
overall,3,left kidney,299,0.9966666666666667,8696,27774768,0.0553524621933447
overall,4,gall bladder,282,0.94,3412,5458532,0.01087833339098142
overall,5,esophagus,299,0.9966666666666667,9103,2982807,0.005944449714127006
overall,6,liver,300,1.0,13130,241726753,0.4817383517497778
overall,7,stomach,297,0.99,9021,66474636,0.13247760614981016
overall,8,aorta,300,1.0,22161,21751798,0.04334925773033535
overall,9,postcava,300,1.0,19126,12453539,0.024818714837540452
overall,10,pancreas,300,1.0,6812,13400696,0.026706308355285112
overall,11,right adrenal gland,299,0.9966666666666667,2820,622638,0.0012408581182438592
overall,12,left adrenal gland,300,1.0,3208,726418,0.0014476817549498547
overall,13,duodenum,299,0.9966666666666667,7980,10589731,0.021104323348990362
overall,14,bladder,294,0.98,4114,23530273,0.04689358869285891
overall,15,prostate/uterus,289,0.9633333333333334,3688,9831269,0.019592780959866225
